X,Y,Z,X,Y,Z,W
-3.06457,313.485474,41.679035,0.000024,0.000028,-0.00003,1
-3.066291,313.480347,41.677185,0.00002,0.000021,-0.000023,1
-3.064342,313.481262,41.678356,0.000015,0.000025,-0.000028,1
-3.066041,313.4823,41.676647,0.000019,0.000028,-0.000018,1
-3.06476,313.482208,41.67786,0.00002,0.000025,-0.000036,1
-3.065021,313.484222,41.67757,0.000021,0.000023,-0.000021,1
-3.067228,313.480591,41.677315,0.000015,0.000026,-0.000031,1
-3.065036,313.481903,41.676746,0.000019,0.00003,-0.00003,1
-3.068167,313.482697,41.677254,0.000023,0.000027,-0.000024,1
-3.0655,313.481903,41.678062,0.000021,0.000028,-0.000034,1
-3.068115,313.48111,41.677757,0.000012,0.000025,-0.000031,1
-3.066233,313.481293,41.678398,0.00002,0.000031,-0.000038,1
-3.066286,313.482239,41.676895,0.000018,0.000032,-0.000027,1
-3.06556,313.483551,41.67897,0.000031,0.000034,-0.00004,1
-3.066145,313.483063,41.677441,0.000014,0.000029,-0.000025,1
-3.066814,313.482971,41.680271,0.000026,0.000032,-0.000039,1
-3.065527,313.481384,41.676529,0.000008,0.000031,-0.000019,1
-3.066946,313.482727,41.679497,0.000014,0.000029,-0.000021,1
-3.066223,313.483459,41.677933,0.000016,0.000031,-0.000033,1
-3.06705,313.483246,41.678833,0.000013,0.000027,-0.000024,1
-3.065828,313.482239,41.679005,0.000017,0.000032,-0.000019,1
-3.06644,313.481262,41.678345,0.000017,0.000026,-0.000034,1
-3.066648,313.482544,41.680817,0.000002,0.000026,-0.000018,1
-3.066972,313.485352,41.678547,0.000007,0.000025,-0.000029,1
-3.067193,313.481628,41.680443,0.000013,0.000025,-0.000019,1
-3.066714,313.483673,41.678658,0.000025,0.000019,-0.000029,1
-3.068466,313.478882,41.67934,0.000014,0.000021,-0.000023,1
-3.066887,313.485138,41.678665,0.00002,0.000024,-0.00003,1
-3.068931,313.481293,41.679039,0.000027,0.000026,-0.000036,1
-3.066394,313.483215,41.679272,0.000015,0.000026,-0.000034,1
-3.068496,313.480682,41.678776,0.00002,0.000025,-0.000028,1
-3.068045,313.482758,41.678246,0.000018,0.000026,-0.000036,1
-3.066368,313.48291,41.678375,0.000008,0.000028,-0.000031,1
-3.06843,313.483185,41.678791,0.000026,0.000031,-0.000034,1
-3.065787,313.483307,41.679352,0.000017,0.000032,-0.000033,1
-3.068996,313.480499,41.678738,0.000013,0.000029,-0.000027,1
-3.064835,313.484375,41.679569,0.00002,0.000036,-0.000039,1
-3.068316,313.479248,41.678467,0.000015,0.00003,-0.000021,1
-3.064696,313.483124,41.679073,0.000024,0.000031,-0.000025,1
-3.067364,313.480011,41.677975,0.00001,0.000031,-0.000026,1
-3.066468,313.481293,41.679413,0.000011,0.000032,-0.000021,1
-3.06541,313.486267,41.677582,0.000004,0.00003,-0.000019,1
-3.066082,313.479675,41.678963,0.000031,0.000031,-0.000027,1
-3.065114,313.484711,41.677849,0.000018,0.000029,-0.000022,1
-3.067482,313.477203,41.678772,0.000017,0.000027,-0.000026,1
-3.065542,313.487183,41.678146,0.000014,0.000025,-0.000032,1
-3.067445,313.477844,41.678703,0.000025,0.000022,-0.000029,1
-3.06506,313.483704,41.678452,0.000019,0.000028,-0.00003,1
-3.065696,313.481689,41.677299,0.000015,0.000026,-0.000027,1
-3.066083,313.481903,41.678398,0.000031,0.000026,-0.000036,1
-3.064994,313.484833,41.677795,0.000028,0.000028,-0.00004,1
-3.066367,313.479156,41.677845,0.000032,0.000025,-0.000027,1
-3.063866,313.487671,41.677952,0.000017,0.000028,-0.000025,1
-3.066018,313.478455,41.677311,0.000025,0.000028,-0.000025,1
-3.061601,313.485046,41.678795,0.000024,0.00003,-0.000036,1
-3.066815,313.481293,41.677029,0.000024,0.00003,-0.000025,1
-3.062766,313.481689,41.677532,0.000031,0.000029,-0.000031,1
-3.06506,313.484589,41.677555,0.000019,0.000033,-0.000023,1
-3.063148,313.480438,41.678471,0.000022,0.000034,-0.000019,1
-3.0637,313.486298,41.679188,0.000007,0.000034,-0.000024,1
-3.064554,313.48114,41.678009,0.000028,0.00003,-0.000012,1
-3.061952,313.484283,41.678112,0.000016,0.000033,-0.000031,1
-3.064744,313.483521,41.678989,0.00002,0.000031,-0.000023,1
-3.062757,313.479492,41.678192,0.000023,0.000032,-0.000024,1
-3.063367,313.482269,41.678349,0.000023,0.000029,-0.000019,1
-3.062377,313.48407,41.678696,0.000015,0.000031,-0.000028,1
-3.06215,313.483337,41.677521,0.000023,0.000023,-0.000014,1
-3.063056,313.477234,41.679272,0.000041,0.000026,-0.000019,1
-3.062458,313.486237,41.677364,0.000024,0.000026,-0.000028,1
-3.063594,313.479919,41.67881,0.00003,0.000025,-0.000028,1
-3.061804,313.479523,41.678524,0.000029,0.000027,-0.000032,1
-3.062885,313.484344,41.677986,0.000023,0.000027,-0.000024,1
-3.060846,313.484497,41.677582,0.000013,0.000028,-0.000026,1
-3.061465,313.477264,41.677841,0.000028,0.000025,-0.000027,1
-3.061114,313.481903,41.678864,0.000034,0.000029,-0.000034,1
-3.061635,313.485596,41.678654,0.000019,0.000027,-0.000019,1
-3.061403,313.479431,41.678825,0.000036,0.000032,-0.000023,1
-3.059487,313.481293,41.676804,0.00001,0.000035,-0.000021,1
