x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,f_t,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.088104297,0.449165374,-0.154494649,0.357029475,0.032951526,0.245958416,0.900526851,0,-40.38877331,-44.9695178,-28.28548385,-128.5973446,-123.0343608,-69.15506812,-46.17032619,-32.10487201,-24.70627965
-0.09573175,0.453584814,-0.154392383,0.368404465,0.020766068,0.294712547,0.881471177,0,-42.8847769,-46.1533158,-28.60886446,-135.6053212,-122.2220503,-69.02432198,-40.96736143,-32.07723093,-24.64737395
-0.101657702,0.459667025,-0.153084789,0.387568866,0.010433075,0.344135534,0.85513289,0,-45.2511607,-47.39110006,-29.47879855,-144.5710733,-119.6609316,-68.86676833,-35.75626684,-32.19761249,-24.6203233
-0.111176779,0.46651298,-0.15376013,0.404761156,0.005483524,0.387334871,0.828317594,0,-47.10273461,-49.70587746,-29.87200939,-151.6657132,-121.2504088,-68.84581091,-30.84110734,-30.89200537,-24.68420018
-0.116482749,0.473830946,-0.154865432,0.420092134,0.001318891,0.420944736,0.80394427,0,-48.92190358,-50.68415142,-30.47685859,-158.7247969,-122.1401839,-69.11815162,-27.94891539,-22.27340391,-24.94354082
0.00197548,0.32404665,0.037759752,0,0,0,1,0,-1.35,-1.05,-2.925,-2.325,-13.65,-5.7,-11.55,-4.575,-4.125
0.016557323,0.326223989,0.037608361,0.013841709,0.000320218,-0.010817071,0.999845636,0,1.989404245,-0.54290662,-2.530632662,-11.45483726,-12.39183784,-5.755102704,-16.02547235,-11.22669126,-9.128771268
0.036037829,0.327980727,0.050945931,-0.003090162,-0.000604613,-0.043609202,0.999043704,0,6.153808491,-0.07331324,-3.505015325,-3.765924523,-0.783675679,0.039794592,-19.30094471,-18.83463252,-10.70129254
0.051230164,0.331580581,0.051043994,-0.001947397,0.000547239,-0.053358161,0.99857339,0,10.20571274,0.97753014,-3.363772987,1.157363216,7.149486481,4.184691889,-21.97641706,-26.62069878,-13.3331888
0.061177649,0.335876942,0.043701803,0.013117269,0.001138835,-0.06432366,0.997842226,0,13.60136698,2.54399852,-3.639718149,-12.77716155,-11.57985136,-6.595410815,-26.82688942,-33.74582754,-17.39477257
0.058102568,0.335257407,0.054069405,-0.003244863,0.001087031,-0.057301171,0.998351073,0,5.298373581,3.947810024,-5.212955652,-5.389402216,-2.184925184,-1.201215982,-20.67296928,-32.26495274,-16.2494003
0.059577699,0.335797155,0.054087531,-0.001008,0.000535288,-0.073825048,0.997270555,0,-3.50618232,4.655527777,-5.76549003,-2.753596012,0.581875991,0.199228851,-28.07529914,-31.33134357,-15.53644991
0.05919414,0.337794163,0.047583782,0.000564628,0.002357695,-0.062665654,0.998031632,0,-13.08651947,-17.63480134,-2.807672845,-13.29376637,-11.74038533,-7.522201317,-29.355754,-35.69636721,-18.63971045
0.052624965,0.33950513,0.062151093,-0.049842415,0.007255194,-0.050883278,0.997433701,0,-22.82974725,-21.9491539,-6.794679879,-8.746925009,-7.757177909,-9.304568984,-28.92527136,-37.61070726,-20.05107646
