x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,mass,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.026470064,0.075003018,0.076104766,0.104844145,0.024898741,-0.007887655,0.994145635,500,-67.48227408,-31.82136446,-33.72075653,-87.55525981,-92.38348479,-54.19577879,-76.00992756,-44.69369595,-32.62098431
-0.028967904,0.087433107,0.079771749,0.151594976,0.029422997,-0.011902679,0.987932982,500,-62.90643202,-33.72366551,-34.52120057,-94.96902029,-94.8211172,-55.26388851,-75.51249494,-42.63324566,-31.44005267
-0.031005605,0.101153704,0.08228266,0.195843518,0.025097017,-0.020461123,0.980100402,500,-57.75085234,-48.48032198,-33.70482064,-98.22183952,-96.50012235,-58.81171074,-75.71768448,-44.25146227,-32.13491437
-0.034525345,0.111055659,0.086080992,0.233538528,0.031054723,-0.024776278,0.971535638,500,-53.17501028,-50.38262304,-34.50526468,-105.6356,-98.93775477,-59.87982046,-75.22025185,-42.19101198,-30.95398274
-0.034004679,0.123588526,0.090245883,0.284706725,0.030804524,-0.033232305,0.957543094,500,-48.23429941,-48.0621018,-33.59729674,-111.8688899,-101.6710735,-61.96278643,-75.82413031,-44.74489514,-31.98594777
-0.038702198,0.134558655,0.096099003,0.326610763,0.038187791,-0.039977008,0.943540641,500,-43.65845735,-49.96440285,-34.39774078,-119.2826503,-104.108706,-63.03089616,-75.32669768,-42.68444484,-30.80501614
-0.037893679,0.147408278,0.102276295,0.383441384,0.037293332,-0.052495853,0.921317588,500,-39.20018088,-47.35529276,-33.96897883,-126.1061755,-106.3941816,-65.731434,-75.2299206,-43.68116128,-32.53053284
-0.042863323,0.158786594,0.109418658,0.420825522,0.045569042,-0.059893482,0.904014443,500,-34.62433882,-49.25759382,-34.76942287,-133.519936,-108.831814,-66.79954373,-74.73248797,-41.62071098,-31.34960121
-0.042105658,0.166826812,0.115996559,0.469732721,0.054476884,-0.067268694,0.878554701,500,-31.23227956,-46.5791893,-34.58026391,-140.4135788,-111.418368,-68.60886751,-74.88538311,-43.63884406,-32.97189374
-0.046247972,0.175376793,0.122996988,0.505179985,0.063111846,-0.073261654,0.857579622,500,-26.6564375,-48.48149035,-35.38070796,-147.8273393,-113.8560004,-69.67697724,-74.38795048,-41.57839376,-31.79096211
-0.04132747,0.177941193,0.127647344,0.522094644,0.065769786,-0.0705478,0.847416383,500,-29.28863278,-46.97908628,-34.81054887,-152.826935,-116.2808432,-72.0284433,-76.39265058,-46.42498226,-34.68939065
-0.035420272,0.187182325,0.133937067,0.540315644,0.067717404,-0.06246067,0.836404222,500,-28.10393666,-42.967035,-33.08519128,-157.8615896,-118.3312251,-73.33430233,-78.29718679,-51.40727908,-37.46120712
-0.038940778,0.187796788,0.138545553,0.561101267,0.069006997,-0.073177329,0.82161334,500,-28.60268624,-48.00980732,-34.48743294,-162.3537147,-120.1188375,-75.23796487,-80.17680495,-49.57172174,-38.04632962
-0.031422182,0.195252957,0.144841067,0.580044478,0.070767485,-0.062338952,0.809107052,500,-27.41799013,-43.99775604,-32.76207536,-167.3883693,-122.1692194,-76.5438239,-82.08134116,-54.55401855,-40.81814608
-0.036020292,0.198348961,0.149744622,0.602319349,0.06806842,-0.075974685,0.791710768,500,-26.70001686,-51.26311656,-17.75051739,-172.4517591,-124.4632166,-77.84858469,-83.67341834,-52.07738829,-38.89661556
-0.027066961,0.19189683,0.147402183,0.590094295,0.072715053,-0.055991757,0.802101095,500,-31.50513182,-52.25827092,-18.34761001,-169.4500989,-124.0702191,-77.75160138,-85.46416372,-59.02028325,-42.46757848
-0.035557693,0.184505182,0.143870993,0.573905217,0.050979509,-0.080373844,0.813371955,500,-32.6436082,-53.04213119,-38.10160244,-169.4628064,-126.7990292,-76.82906896,-86.49867958,-58.40871467,-32.1418679
-0.03042273,0.177766909,0.141713504,0.55894475,0.057325995,-0.06566517,0.824610564,500,-37.44872316,-54.03728555,-38.69869506,-166.4611462,-126.4060317,-76.73208565,-88.28942495,-65.35160963,-35.71283082
-0.019681513,0.166961409,0.137572392,0.528998405,0.055722545,-0.048534031,0.845399393,500,-40.27051884,-33.77679287,-39.94923759,-164.5916698,-129.748938,-68.94732779,-89.32705557,-64.84227281,-44.18545699
-0.013323552,0.159800572,0.136106569,0.512640448,0.06029575,-0.032542498,0.855865164,500,-45.0756338,-34.77194723,-40.5463302,-161.5900096,-129.3559406,-68.85034448,-91.11780094,-71.78516777,-47.75641991
-0.010190617,0.158328765,0.133030583,0.475119535,0.043809125,-0.030634841,0.878295904,500,-47.61408911,-50.33927807,-41.17014778,-159.3044413,-128.880895,-70.2344739,-93.28198893,-76.95194685,-41.32821445
-0.001836603,0.152359323,0.132262401,0.461207485,0.046664129,-0.016886323,0.885903475,500,-52.41920407,-51.33443244,-41.76724039,-156.3027811,-128.4878975,-70.13749059,-95.07273431,-83.89484181,-44.89917737
