x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.166884588,0.003500982,0.335505313,-0.083735576,0.198428471,0.014962173,0.976417241,-26.91125016,-24.55227749,-22.54426439,-37.65529663,-31.03554746,-27.4168215,-74.74713832,-96.94490563,-56.17225545
0.159552646,-0.012004916,0.327620409,-0.055835731,0.190899407,0.004468375,0.980010113,-26.00828354,-25.66381186,-20.64544773,-32.06070342,-25.13606843,-24.83454593,-71.24474934,-95.13538369,-55.7095647
0.164094936,-0.02363547,0.328556595,-0.043208734,0.198460683,0.003601051,0.979149322,-25.9104392,-25.79178618,-20.64930348,-26.56888467,-18.8379217,-21.62534116,-67.9673107,-92.48971634,-54.32659963
0.150196422,-0.025684879,0.321034473,-0.032310961,0.181159992,0.000848423,0.982922347,-25.86003371,-25.81154053,-19.92682303,-25.52567869,-18.51410882,-20.979601,-65.32739689,-90.2621217,-52.65377172
0.139708555,-0.040766646,0.321165991,-0.016432338,0.182765026,0.00183288,0.983017581,-30.84847619,-32.46056686,-23.34253001,-26.09223539,-19.426047,-21.52676391,-67.24955845,-88.29240846,-51.76010892
0.125696643,-0.048039971,0.318400391,-0.000318122,0.18515842,0.002662658,0.982705026,-34.51063809,-36.28048321,-26.77006889,-24.98309848,-21.2251521,-22.98065912,-68.14048242,-85.70673158,-50.7215147
0.11644416,-0.065754528,0.320481233,0.017786414,0.187928255,0.004061201,0.9820133,-39.49908057,-42.92950954,-30.18577588,-25.54965519,-22.13709029,-23.52782203,-70.06264398,-83.73701834,-49.8278519
-0.021674434,0.000606668,0.25291039,0.003418847,0.000768922,0.00986139,0.999945235,-4.2,-5.475,-4.125,-3.975,-6.375,-6.375,-3.525,-4.95,-7.575
-0.019614111,-0.001604327,0.256437971,-0.008386552,0.017047153,0.008770042,0.999781049,-6.353121637,-8.934011002,-5.78663833,-8.084217266,-7.16358666,-6.701429704,-10.69142861,-4.271298569,-7.167779141
-0.015761015,0.004722017,0.261785497,-0.019273655,0.026506646,0.008133073,0.999429726,-9.181243275,-10.855522,-9.060776659,-12.15593453,-13.16467332,-10.89035941,-17.74535722,-9.142597138,-9.348058283
-0.009769869,0.004719499,0.265782164,-0.029917849,0.047320729,0.007054319,0.998406684,-11.33436491,-14.31453301,-10.72241499,-16.2651518,-13.95325998,-11.21678911,-24.91178582,-8.463895707,-8.940837424
-0.000236984,0.009964453,0.271446669,-0.043036653,0.064141158,0.006946529,0.996988217,-13.97498655,-17.82979401,-14.24030332,-20.28061906,-17.79809664,-15.94946882,-32.39696443,-16.48519428,-12.60236657
0.004448905,0.008761804,0.276403534,-0.057614999,0.080091163,0.007080734,0.995095865,-16.12810819,-21.28880501,-15.90194165,-24.38983633,-18.5866833,-16.27589852,-39.56339304,-15.80649284,-12.19514571
