dtm_13,dtm_24,de_13,de_24,dl
8.932376861572265625e+00,-2.466396331787109375e+00,2.630683898925781250e+00,-7.766418457031250000e-01,3.591039657592773438e+00
8.114276885986328125e+00,-2.247314453125000000e+00,2.818885803222656250e+00,-6.648330688476562500e-01,3.485355377197265625e+00
7.275039672851562500e+00,-2.042461395263671875e+00,2.958797454833984375e+00,-5.579452514648437500e-01,3.382930755615234375e+00
6.438316345214843750e+00,-1.832435607910156250e+00,3.098384857177734375e+00,-4.446144104003906250e-01,3.284841537475585938e+00
5.617637634277343750e+00,-1.605682373046875000e+00,3.148139953613281250e+00,-3.653755187988281250e-01,3.218519210815429688e+00
4.808963775634765625e+00,-1.351043701171875000e+00,3.070716857910156250e+00,-3.376579284667968750e-01,3.187795639038085938e+00
4.002189636230468750e+00,-1.101741790771484375e+00,2.994800567626953125e+00,-3.127937316894531250e-01,3.158798217773437500e+00
3.229209899902343750e+00,-9.054908752441406250e-01,2.929782867431640625e+00,-2.632942199707031250e-01,3.156814575195312500e+00
2.476638793945312500e+00,-7.065353393554687500e-01,2.847595214843750000e+00,-1.908187866210937500e-01,3.155763626098632812e+00
1.734882354736328125e+00,-5.120887756347656250e-01,2.745105743408203125e+00,-9.402465820312500000e-02,3.160352706909179688e+00
1.002246856689453125e+00,-3.027267456054687500e-01,2.673904418945312500e+00,1.208496093750000000e-02,3.183298110961914062e+00
2.637329101562500000e-01,-1.141128540039062500e-01,2.573211669921875000e+00,9.612655639648437500e-02,3.228801727294921875e+00
-5.057983398437500000e-01,3.018569946289062500e-02,2.475334167480468750e+00,1.648254394531250000e-01,3.320943832397460938e+00
-1.301136016845703125e+00,1.482048034667968750e-01,2.376304626464843750e+00,1.601791381835937500e-01,3.471868515014648438e+00
-2.088748931884765625e+00,2.542610168457031250e-01,2.280918121337890625e+00,1.501121520996093750e-01,3.670858383178710938e+00
