x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
0.033546341,0.332198902,0.039473175,-0.102374004,-0.006970233,0.058248469,-0.993014665,0.037024856,0.332367569,0.033788189,-0.109704107,-0.01651958,0.064566672,-0.991727293
0.036205027,0.332063005,0.037155494,-0.099355581,-0.008716794,0.054346053,-0.993528585,0.047225669,0.330455184,0.034984738,-0.093132287,-0.014413163,0.060963035,-0.993681133
0.049237356,0.333612629,0.016729287,-0.128391069,-0.011229213,0.039397537,-0.990877112,0.055872038,0.332764149,0.0159427,-0.134764925,-0.017255347,0.050786942,-0.989424646
0.055776024,0.33334413,0.016987072,-0.121871251,-0.009809651,0.034954453,-0.991881482,0.052757412,0.332240194,0.017136067,-0.113980234,-0.014847662,0.042736679,-0.992452264
0.056717593,0.334324733,0.016468447,-0.129041864,-0.009150498,0.031935107,-0.991082549,0.058974147,0.333380461,0.0192957,-0.120331898,-0.014374811,0.031070143,-0.992143095
0.061567437,0.334003919,0.023372594,-0.120186566,-0.008515621,0.02570402,-0.992381759,0.062443942,0.33218047,0.028932758,-0.104335979,-0.011850871,0.023702651,-0.994188726
0.074196333,0.333394094,0.039355893,-0.110795442,-0.006904106,0.012895547,-0.993735067,0.067920461,0.332315147,0.038920559,-0.109407336,-0.014531028,0.013453007,-0.993799686
0.080376871,0.332667987,0.043123284,-0.103605871,-0.002126222,0.000865104,-0.994615781,0.076406196,0.330483824,0.045432903,-0.086320281,-0.008634109,-0.004325747,-0.996219754
0.088310771,0.331865817,0.056760916,-0.090902918,-0.001580187,-0.015783547,-0.99573344,0.087664679,0.332596123,0.059512272,-0.089611858,-0.001102939,-0.028928459,-0.995555997
0.087969118,0.331868994,0.056448141,-0.090885699,-0.002162616,-0.015668568,-0.995735729,0.079442099,0.332868785,0.056915462,-0.093734741,-0.006496686,-0.00946033,-0.995530128
0.083043845,0.332675389,0.051482368,-0.099002606,-0.009830315,-0.004714463,-0.99502668,0.080634505,0.334014982,0.048903257,-0.104265884,-0.005721543,0.00219503,-0.994530559
0.078478594,0.33766674,0.030169774,-0.148903148,-0.01193822,-0.001439068,-0.988778615,0.074427053,0.33701691,0.023596331,-0.159435511,-0.018365398,0.001783371,-0.987035871
0.069515082,0.33902447,0.028233264,-0.158484697,-0.011299436,0.014376041,-0.987192086,0.063547924,0.337644905,0.026495241,-0.165049925,-0.020087034,0.023528725,-0.985799789
0.064012881,0.336713338,0.041398406,-0.137391271,-0.010014844,0.022962463,-0.990199892,0.05852513,0.334044099,0.042955436,-0.122631267,-0.014135435,0.024673402,-0.992044806
0.064051065,0.334665453,0.04955333,-0.120789818,-0.009494338,0.01997209,-0.992431712,0.056169376,0.332904637,0.045969576,-0.114550456,-0.01348896,0.025797725,-0.992990792
0.066869485,0.332613516,0.051632729,-0.1091055,-0.009433728,0.001878554,-0.993983459,0.062208667,0.330052584,0.049591988,-0.102126211,-0.009955309,0.002426952,-0.994718611
0.068477161,0.333026707,0.043722757,-0.115178952,-0.006277002,-0.003150948,-0.993319952,0.067746356,0.33134231,0.038109213,-0.113945186,-0.009695698,-0.006282181,-0.993419766
0.076424038,0.331421067,0.049153349,-0.097577439,0.001242623,-0.035683606,-0.994587227,0.072216332,0.329535276,0.049273789,-0.086956978,-0.003717218,-0.036438137,-0.995538533
0.071088441,0.330354603,0.053461859,-0.084910985,-0.000990401,-0.027825379,-0.995999022,0.068704978,0.328438997,0.054845236,-0.069447577,-0.004243206,-0.03043896,-0.997112036
0.072259217,0.33046542,0.051038865,-0.085134966,0.000471903,-0.028585799,-0.995958825,0.075516507,0.329100937,0.052941173,-0.063387752,-0.001191847,-0.038632363,-0.997240186
0.076118174,0.329459796,0.057805049,-0.06868661,0.003731067,-0.031772453,-0.997125244,0.078052133,0.328434587,0.057528168,-0.05468905,-0.001510363,-0.033139974,-0.997952163
