x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
1.27E-01,3.24E-01,4.15E-02,-1.19E-01,-8.35E-03,-7.74E-02,-9.90E-01,0.126759267,0.325420266,0.054257023,-0.080325119,0.001094685,-0.098647018,-0.991874651
5.24E-02,3.27E-01,1.21E-01,3.43E-02,7.76E-03,1.71E-02,-9.99E-01,0.062515082,0.324750433,0.108392314,0.01419464,0.001422849,-0.002035573,-0.999896038
6.92E-02,3.37E-01,7.21E-02,-3.68E-03,-5.26E-03,-7.98E-02,-9.97E-01,0.068466529,0.332874896,0.079692868,-0.000528471,-0.006949079,-0.06919935,-0.997578212
6.24E-02,3.19E-01,6.90E-02,5.11E-02,1.99E-03,3.62E-02,-9.98E-01,0.060039827,0.322317189,0.074876852,0.045989562,0.006145352,0.027692265,-0.998538411
8.69E-02,3.17E-01,7.09E-02,-4.88E-02,-5.34E-03,-4.50E-02,-9.98E-01,0.077619191,0.315214819,0.067025004,-0.028594784,0.00105514,-0.026037195,-0.999251143
4.58E-02,3.28E-01,1.39E-01,3.55E-02,1.10E-03,-3.99E-03,-9.99E-01,0.045173391,0.326896999,0.139497558,0.032967275,-0.002153651,-0.00495387,-0.999440928
8.83E-02,3.16E-01,1.09E-01,-4.45E-03,1.22E-03,2.48E-03,-1.00E+00,0.079744035,0.316846263,0.102284597,-0.008185256,0.000654595,0.006608649,-0.999943837
1.14E-02,3.38E-01,8.10E-02,-4.61E-02,-5.21E-03,1.20E-01,-9.92E-01,0.021217629,0.33108514,0.084479856,-0.031374204,-0.007413121,0.117659499,-0.992530437
8.08E-02,3.32E-01,1.32E-01,1.11E-01,3.64E-03,-1.77E-02,-9.94E-01,0.076996775,0.330575883,0.129311688,0.089713884,0.010912387,-0.014349612,-0.995804318
1.70E-02,3.22E-01,8.27E-02,1.51E-03,-8.44E-03,8.76E-02,-9.96E-01,0.018545124,0.322415876,0.07802332,0.001660219,-0.008732688,0.084943154,-0.996335936
5.11E-03,3.38E-01,7.08E-02,2.15E-02,-1.38E-02,-2.70E-02,-9.99E-01,0.006827877,0.332931123,0.079256438,0.03546758,-0.0118913,-0.019586709,-0.999107953
7.41E-02,3.25E-01,9.92E-02,-4.18E-02,2.10E-03,-2.26E-02,-9.99E-01,0.07395591,0.324982135,0.097831268,-0.027805199,0.004920862,-0.027020343,-0.999235992
7.58E-02,3.39E-01,1.59E-01,1.55E-01,2.98E-03,-2.54E-02,-9.88E-01,0.072226494,0.338471746,0.160191629,0.142322375,0.002587544,-0.027728947,-0.989428059
2.43E-02,3.34E-01,1.11E-01,5.56E-02,-1.30E-02,1.73E-02,-9.98E-01,0.028155093,0.333640216,0.11852001,0.085782785,-0.012977378,0.016373273,-0.996091537
1.08E-01,3.47E-01,2.40E-02,-1.85E-01,3.49E-03,-1.27E-01,-9.74E-01,0.106824285,0.344956191,0.02437162,-0.173126587,0.004713954,-0.113684258,-0.978302228
9.45E-03,3.31E-01,1.02E-01,-1.65E-02,-3.11E-03,1.27E-01,-9.92E-01,0.012327375,0.32987169,0.090935415,-0.028946161,-0.007571956,0.09999294,-0.994537719
1.35E-01,3.48E-01,4.66E-02,-1.15E-01,-8.72E-03,-1.22E-01,-9.86E-01,0.129289209,0.344143228,0.048071138,-0.121469266,-0.002536462,-0.089493573,-0.988549153
7.72E-02,3.23E-01,1.16E-01,1.69E-02,4.81E-03,-9.98E-03,-1.00E+00,0.07381607,0.323038008,0.11757167,0.011089598,0.004794692,-0.006759019,-0.999903413
8.08E-02,3.33E-01,9.37E-03,-4.28E-02,8.79E-03,-5.14E-02,-9.98E-01,0.081342058,0.329516812,0.025107465,-0.037898303,0.00765093,-0.037706656,-0.998539952
8.29E-02,3.21E-01,8.82E-02,-1.68E-02,2.16E-03,-4.37E-02,-9.99E-01,0.08194957,0.321463412,0.085064966,-0.021912808,-0.009380601,-0.046708093,-0.998623701
9.14E-02,3.41E-01,2.70E-02,-5.27E-02,2.84E-03,1.38E-02,-9.99E-01,0.097813858,0.336954423,0.020827254,-0.061207941,-0.000442373,-0.013371471,-0.998029264
7.32E-02,3.35E-01,3.19E-02,1.26E-02,2.84E-03,4.54E-02,-9.99E-01,0.073604308,0.334863263,0.032562254,0.002535713,0.014250167,0.031322266,-0.999402654
2.72E-02,3.26E-01,3.77E-02,-1.02E-01,-6.23E-03,1.25E-03,-9.95E-01,0.032179516,0.325256467,0.036564051,-0.090295351,-0.007649653,0.012479174,-0.995807409
-6.99E-04,3.45E-01,1.16E-01,1.14E-01,-2.49E-03,1.72E-01,-9.78E-01,0.012417183,0.343495911,0.124776772,0.125318564,0.007218735,0.135942671,-0.982731338
5.62E-02,3.32E-01,1.56E-01,2.68E-02,-1.28E-03,-2.79E-02,-9.99E-01,0.052226195,0.32883838,0.145435242,0.034044856,-0.000401352,-0.014141126,-0.999320169
3.52E-02,3.29E-01,1.04E-01,8.39E-02,6.01E-03,8.06E-02,-9.93E-01,0.040198306,0.325246259,0.108667599,0.051190678,0.002290193,0.047166654,-0.997568444
4.92E-02,3.20E-01,1.48E-01,1.20E-01,8.15E-04,1.21E-02,-9.93E-01,0.047984845,0.320145841,0.139619292,0.102406329,0.007687861,0.031199729,-0.994223495
2.86E-02,3.28E-01,9.70E-02,-1.06E-02,-3.99E-03,2.33E-02,-1.00E+00,0.026537332,0.324369456,0.100291351,0.012730321,-0.012108009,0.031692319,-0.999331025
8.98E-02,3.46E-01,1.91E-01,1.25E-01,-1.16E-02,-9.90E-02,-9.87E-01,0.084826093,0.339706218,0.175570126,0.103489696,-0.008438352,-0.08640298,-0.99083449
6.39E-02,3.24E-01,2.32E-02,-7.36E-02,-9.81E-04,-7.57E-04,-9.97E-01,0.064561128,0.321763021,0.040634292,-0.047126823,-0.001896344,-0.01080345,-0.998828367
1.47E-01,3.33E-01,9.32E-02,-4.99E-02,-4.83E-03,-5.32E-02,-9.97E-01,0.129808562,0.329319064,0.087354623,-0.040747155,0.001805277,-0.045386713,-0.998136481
9.62E-02,3.25E-01,1.09E-01,3.14E-02,-6.27E-03,-6.39E-02,-9.97E-01,0.097302977,0.324984845,0.10501733,0.017730015,-0.009235134,-0.057095297,-0.998160875
-2.97E-02,3.64E-01,6.96E-02,-7.67E-02,4.65E-03,2.14E-01,-9.74E-01,-0.028918767,0.357940731,0.059119842,-0.092840695,-0.006366182,0.200860138,-0.975189674
6.45E-02,3.50E-01,-3.83E-02,-7.09E-02,8.73E-03,1.75E-02,-9.97E-01,0.073640841,0.348843575,-0.025387836,-0.06230581,0.014114925,0.039499352,-0.997175264
1.08E-01,3.34E-01,1.60E-01,9.80E-02,2.50E-02,4.56E-03,-9.95E-01,0.105810909,0.334069294,0.160499274,0.10703128,0.025350556,0.00547775,-0.993916873
1.12E-01,3.32E-01,-2.13E-02,-1.07E-01,3.85E-03,-4.76E-02,-9.93E-01,0.102890829,0.328503573,0.000619213,-0.093333785,0.006183122,-0.032075449,-0.995098643
6.09E-02,3.27E-01,4.57E-02,-7.19E-02,-4.41E-03,-4.69E-02,-9.96E-01,0.071917415,0.325852311,0.038109932,-0.08626233,-0.005744497,-0.049897489,-0.995005441
5.20E-02,3.40E-01,8.73E-02,4.82E-02,-1.21E-03,6.92E-02,-9.96E-01,0.053259232,0.335721554,0.091689574,0.025975883,0.003945307,0.031061455,-0.999149859
5.57E-04,3.44E-01,2.07E-02,-7.69E-02,-1.58E-02,1.39E-01,-9.87E-01,-0.002305274,0.344753031,0.016653609,-0.081340292,-0.012332169,0.135215034,-0.987394007
-1.50E-03,3.30E-01,6.71E-02,-9.06E-02,-7.98E-03,1.35E-01,-9.87E-01,-0.006101353,0.33251547,0.073009783,-0.070328681,-0.007367929,0.152754488,-0.98573101
-7.25E-03,3.36E-01,3.02E-02,-1.05E-01,-1.08E-02,9.93E-02,-9.89E-01,-0.010141779,0.333363086,0.043215619,-0.105351165,-0.008521083,0.119830368,-0.987151968
1.31E-01,3.39E-01,5.29E-02,-2.80E-02,1.60E-02,-1.26E-01,-9.92E-01,0.117448115,0.334190875,0.057367849,-0.044733355,0.007332338,-0.103450806,-0.993601012
1.24E-01,3.40E-01,1.18E-02,-6.40E-02,2.42E-02,-5.71E-02,-9.96E-01,0.11830781,0.337214386,0.01510392,-0.072707265,0.016181885,-0.068299695,-0.994880331
6.17E-02,3.25E-01,8.18E-02,-1.18E-02,-5.97E-03,1.58E-02,-1.00E+00,0.063097368,0.325629012,0.086269648,-0.012987089,-0.006927643,0.004611671,-0.999881005
4.06E-02,3.37E-01,1.36E-01,7.16E-02,1.31E-02,1.41E-01,-9.87E-01,0.042620524,0.332427297,0.135469145,0.074929403,0.007431695,0.094090842,-0.992711822
-1.27E-02,3.35E-01,9.49E-02,-5.72E-02,-4.13E-03,8.72E-02,-9.95E-01,0.000636371,0.332029297,0.098976703,-0.021281764,-0.008579376,0.096155261,-0.995101821
7.37E-03,3.22E-01,7.49E-02,1.93E-02,-1.46E-02,-4.83E-06,-1.00E+00,0.01552234,0.323704682,0.080542382,0.011031176,-0.013328893,0.016381001,-0.999715988
9.31E-02,3.23E-01,5.84E-02,-2.44E-02,5.83E-03,-3.57E-02,-9.99E-01,0.085298007,0.321096768,0.055642126,-0.028664355,0.00358289,-0.035574539,-0.998949397
8.38E-02,3.18E-01,4.09E-02,-7.58E-02,1.10E-03,-3.13E-02,-9.97E-01,0.086268197,0.31976222,0.040188758,-0.067087111,0.004007584,-0.037950787,-0.99701548
4.91E-02,3.36E-01,1.10E-01,-1.05E-01,4.27E-03,-3.85E-02,-9.94E-01,0.054861621,0.331358782,0.101011216,-0.086270627,-0.000590918,-0.0405128,-0.995444818
