Format Version,1.24,Take Name,Take 2024-08-07 11.30.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-08-07 11.30.37.870 AM,Capture Start Frame,4110063,Total Frames in Take,3020,Total Exported Frames,3020,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.001746,-0.168951,-0.000328,0.985623,-14.631619,252.424088,-4.591104,22.456860,250.370468,49.933205,-46.026051,254.104523,-58.020081,-77.855713,252.793427,34.130993,42.898415,252.427872,-44.408531,22.613537,250.655975,49.782413,-46.517635,254.490585,-57.750828,-77.761192,252.483246,33.724754,43.096779,252.044891,-44.072796,-40.997143,380.428040,-35.211376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.001772,-0.168953,-0.000302,0.985622,-14.631066,252.429810,-4.591251,22.457239,250.381027,49.933357,-46.025311,254.105713,-58.020481,-77.855347,252.798889,34.130527,42.899158,252.433563,-44.408401,22.613211,250.668671,49.784264,-46.516548,254.492493,-57.749039,-77.759102,252.488907,33.721478,43.096611,252.051086,-44.074211,-40.996735,380.437134,-35.207539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.001761,-0.168958,-0.000320,0.985622,-14.631255,252.429398,-4.591602,22.456430,250.377899,49.933327,-46.024902,254.107803,-58.021103,-77.855927,252.799393,34.129543,42.899368,252.432434,-44.408173,22.612511,250.666046,49.784569,-46.518734,254.498032,-57.752045,-77.759064,252.486206,33.721333,43.098282,252.045395,-44.072330,-40.995373,380.439209,-35.211884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.001753,-0.168963,-0.000322,0.985621,-14.631529,252.431686,-4.590641,22.455606,250.379288,49.934628,-46.024632,254.110962,-58.020432,-77.856583,252.801056,34.129868,42.899506,252.435364,-44.406628,22.610962,250.666382,49.783447,-46.516491,254.499161,-57.750187,-77.761162,252.489182,33.723629,43.098621,252.050278,-44.071228,-40.994499,380.435638,-35.209267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.001757,-0.168961,-0.000318,0.985621,-14.632895,252.427277,-4.590889,22.454456,250.375717,49.934265,-46.026211,254.105774,-58.020580,-77.857811,252.796616,34.129860,42.897987,252.430908,-44.407089,22.610380,250.661789,49.783669,-46.517494,254.492462,-57.749981,-77.763245,252.484589,33.723038,43.096237,252.046021,-44.072975,-40.999714,380.430267,-35.211231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.001761,-0.168959,-0.000331,0.985622,-14.631875,252.431213,-4.591048,22.455681,250.378693,49.933933,-46.025402,254.110489,-58.020592,-77.856598,252.802399,34.130001,42.898819,252.433182,-44.407524,22.611465,250.666626,49.783680,-46.516682,254.499756,-57.750530,-77.761414,252.489563,33.723469,43.097237,252.047180,-44.072948,-40.996838,380.435425,-35.204388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.001771,-0.168957,-0.000354,0.985622,-14.632842,252.427811,-4.591359,22.454828,250.374146,49.933495,-46.026497,254.108017,-58.020802,-77.857399,252.802582,34.129932,42.897690,252.426468,-44.408070,22.611231,250.661667,49.783089,-46.517864,254.496689,-57.751614,-77.762222,252.490158,33.723457,43.095680,252.040771,-44.072395,-40.994316,380.433624,-35.212105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.001754,-0.168957,-0.000324,0.985622,-14.631819,252.430267,-4.590481,22.455965,250.377777,49.934345,-46.025558,254.109589,-58.019897,-77.856407,252.800079,34.130795,42.898731,252.433502,-44.407162,22.612024,250.664413,49.784470,-46.516834,254.497208,-57.749741,-77.761726,252.488586,33.724159,43.097179,252.049301,-44.073174,-40.995239,380.429047,-35.212616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.001775,-0.168955,-0.000347,0.985622,-14.631185,252.429276,-4.590737,22.456768,250.376648,49.933971,-46.025116,254.108521,-58.020046,-77.855560,252.803619,34.130848,42.899158,252.428299,-44.407711,22.611729,250.662292,49.784630,-46.516724,254.495239,-57.749260,-77.759735,252.492813,33.723751,43.097736,252.045120,-44.074486,-40.992065,380.430725,-35.211197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.001766,-0.168953,-0.000328,0.985623,-14.632810,252.427734,-4.591821,22.455450,250.376053,49.932713,-46.027023,254.106216,-58.020988,-77.857048,252.799057,34.130020,42.897377,252.429489,-44.409031,22.611036,250.663605,49.782066,-46.518448,254.495056,-57.750614,-77.760902,252.486435,33.722748,43.095264,252.043640,-44.073448,-40.997852,380.431519,-35.209049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
