date and time,Test num,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
7/23/2023 20:58,75,9.11057663,2.565044403,-3.212059021,-8.888427734,-1.177694321,0.086754986,0.326238042,0.091537457,-0.037484592,0.001789487,-0.018834413,-0.999117382
7/23/2023 20:58,76,6.949359894,-1.209526062,-2.219631195,-8.627799988,-2.251580238,0.087686773,0.326542008,0.086176568,-0.045403122,0.002136133,-0.023965107,-0.998678927
7/23/2023 20:58,77,5.795635223,-1.113010406,-1.325134277,-7.564483643,-2.647028923,0.083988907,0.326471353,0.085702998,-0.043783663,0.002557743,-0.022295247,-0.998788917
7/23/2023 20:58,78,6.734966278,-1.045223236,-3.088172913,-7.694015503,-3.047142982,0.081422262,0.326968072,0.083483153,-0.042912509,-0.003519924,-0.020963553,-0.998852698
7/23/2023 20:58,79,4.789173126,1.03761673,0.328071594,-10.98835754,-4.112726212,0.080631545,0.328998166,0.080266006,-0.052409255,-9.79E-05,-0.033110461,-0.998076526
7/23/2023 20:58,80,1.984500885,-1.74703598,-0.332904816,-9.695217133,-4.525717735,0.077571417,0.329060344,0.076067444,-0.053438233,0.000320756,-0.033026398,-0.998024805
7/23/2023 20:58,81,1.81936264,-1.282115936,-0.562602997,-7.941020966,-4.603984833,0.076432539,0.329056718,0.075530798,-0.053721456,-0.001183211,-0.032074322,-0.998039945
7/23/2023 20:58,82,1.476249695,-1.477962494,2.596637726,-7.560836792,-4.728919029,0.078646204,0.329497713,0.077926062,-0.047975822,-0.002861312,-0.036906955,-0.998162321
7/23/2023 20:58,83,2.570625305,0.585136414,6.3841362,-9.969120026,-4.353479385,0.084972806,0.330069228,0.08196886,-0.045778156,-0.007303786,-0.05381242,-0.997474444
7/23/2023 20:59,84,2.425006866,-0.924938202,6.688518524,-7.557155609,-4.836380005,0.086235334,0.330569772,0.083593619,-0.040999016,-0.007882091,-0.05747012,-0.997473907
7/23/2023 20:59,85,2.67975235,2.427497864,3.205844879,-5.822486877,-5.206505775,0.073604122,0.331092672,0.094013167,-0.026007528,-0.00511491,-0.038455064,-0.998908563
7/23/2023 20:59,86,1.505592346,3.66242218,2.412143707,-0.273067474,-6.025348663,0.060182032,0.331746324,0.108790463,-0.00076334,-0.003788591,-0.017981393,-0.999830715
7/23/2023 20:59,87,-2.100891113,6.788318634,2.597187042,-1.78742981,-5.567219734,0.049748257,0.332717391,0.114594936,0.001112341,-0.00201508,-0.011817065,-0.999927453
7/23/2023 20:59,88,-4.528083801,6.689941406,3.529331207,-2.662166595,-5.196529388,0.045277879,0.332760731,0.111829134,-0.000207838,-0.004353003,-0.010503686,-0.999935234
7/23/2023 20:59,89,-2.33530426,6.704967499,0.476066589,-0.595550537,-5.213212013,0.040007239,0.3321507,0.110286593,-0.00190843,-0.001210462,-5.43E-05,-0.999995172
7/23/2023 20:59,90,-0.96105957,4.900661469,0.077991486,0.396533966,-4.785235405,0.042019675,0.331395406,0.108033277,0.001389067,-0.005118111,0.002126598,-0.999979659
7/23/2023 20:59,91,-0.872581482,3.844715118,0.151569366,-0.12122345,-4.84860611,0.045750727,0.330333942,0.10295883,-0.005377513,-0.004726073,0.005160354,-0.999960999
7/23/2023 20:59,92,-0.203186035,3.581214905,-0.866790771,4.006164551,-4.548980713,0.044831211,0.330167435,0.104421025,-0.00314429,-0.00606971,0.008556613,-0.999940046
7/23/2023 20:59,93,-0.129486084,-1.135612488,-0.055046082,8.332595825,-4.07598114,0.050386698,0.329147273,0.097252341,0.005792081,-0.006718898,0.011644012,-0.999892823
7/23/2023 20:59,94,1.473110199,-2.042518616,1.316135406,8.548904419,-3.227480888,0.053829929,0.328755164,0.100896656,0.017743413,-0.003989692,0.011276789,-0.999770959
7/23/2023 20:59,95,1.57383728,-0.635066986,1.166023254,9.338172913,-2.998802185,0.053821273,0.328878427,0.104833627,0.026906394,-0.005465833,0.007853072,-0.999564326
7/23/2023 20:59,96,1.896240234,0.381568909,1.3282547,11.68423462,-2.650989532,0.054477495,0.32842594,0.111639541,0.032057438,-0.003179365,0.009931476,-0.999431467
7/23/2023 20:59,97,2.731765747,0.402900696,-1.740020752,10.81176758,-1.781610489,0.04769412,0.32793029,0.113086733,0.03531442,-0.002433595,0.026313102,-0.999012665
7/23/2023 20:59,98,5.730083466,2.020503998,-2.044281006,12.0614624,-1.284249306,0.050967524,0.328644005,0.117821807,0.04711298,-0.001719234,0.023663933,-0.998602196
7/23/2023 20:59,99,7.408817291,0.566638947,-0.872840881,17.84155273,-1.49666214,0.051259189,0.329951898,0.127762605,0.06075719,0.014062724,0.041419579,-0.997192144
7/23/2023 20:59,100,7.216995239,-1.320991516,2.171466827,14.70671844,-1.94417572,0.056892498,0.33057526,0.130997938,0.071795273,0.013903927,0.031560038,-0.996822198
7/23/2023 20:59,101,8.113994598,2.919265747,6.172740936,13.89208221,-1.393615723,0.065987378,0.331289452,0.134511579,0.072541754,0.009770486,0.006913531,-0.997293496
7/23/2023 20:59,102,6.716129303,2.425777435,8.769107819,15.43367004,-1.894895554,0.070925002,0.332093394,0.137477706,0.081353379,0.008812864,-0.003186651,-0.996640607
7/23/2023 20:59,103,5.208610535,0.064785004,6.532726288,16.70058441,-2.851539612,0.068657384,0.332305964,0.134823513,0.07934218,0.003831809,-0.001778487,-0.99683814
7/23/2023 20:59,104,3.089076996,2.765071869,10.31592941,21.95821381,-2.27910614,0.058372064,0.335322495,0.142913386,0.099252611,0.003383716,0.008074958,-0.995023473
7/23/2023 20:59,105,2.532245636,3.537345886,14.49230576,25.99627686,-1.050061226,0.056811651,0.33757868,0.152569559,0.121873339,0.004257334,0.004676764,-0.992525466
7/23/2023 20:59,106,3.173694611,2.791202545,17.01748276,18.73763275,-0.547138214,0.068174547,0.335108578,0.146068693,0.111298211,0.001675621,-0.013809235,-0.993689414
7/23/2023 20:59,107,5.210372925,1.896900177,21.36597061,25.88330078,0.491918564,0.074025182,0.337614648,0.157996846,0.136306435,-0.000781044,-0.023160164,-0.990389101
7/23/2023 20:59,108,2.448402405,-1.364692688,23.35988235,25.69669342,0.195077896,0.077550209,0.339420056,0.161383498,0.147282029,-0.002943199,-0.033329685,-0.988528407
7/23/2023 20:59,109,3.851863861,-2.585674286,25.66991806,25.34381104,-0.191196442,0.088908068,0.34203372,0.159448497,0.154317588,-0.000137518,-0.055569095,-0.986457264
7/23/2023 21:00,110,3.877937317,0.896785736,23.48650742,19.81990051,-2.560512543,0.08461298,0.341136948,0.146902882,0.136702086,-0.006256834,-0.055556978,-0.989033039
7/23/2023 21:00,111,6.51329422,2.642715454,17.41334152,18.40503693,-1.693074226,0.082569818,0.340008316,0.148688907,0.130449653,0.000112006,-0.04349569,-0.990500108
7/23/2023 21:00,112,6.683330536,3.681468964,17.36709213,18.1975174,-1.61427021,0.081334762,0.340017539,0.149602596,0.130449963,0.001249635,-0.042635314,-0.990536932
7/23/2023 21:00,113,9.18397522,2.405574799,18.50343704,17.0096817,-1.870311737,0.089512158,0.339355,0.148505096,0.12124122,0.004650915,-0.049718651,-0.991365886
7/23/2023 21:00,114,10.00354004,3.784763336,20.71912003,15.84369659,-1.542532921,0.09405933,0.340014674,0.150274803,0.12195657,0.005428232,-0.056431953,-0.99091475
7/23/2023 21:00,115,11.29922867,5.52955246,22.56377029,16.17481232,-0.952513695,0.098184065,0.341366144,0.158509145,0.130893949,0.010820756,-0.063573199,-0.989296691
7/23/2023 21:00,116,11.3078804,9.939353943,20.85130692,8.297813416,-0.447660446,0.098969646,0.34001805,0.161406011,0.112311407,0.005438684,-0.074442427,-0.990865699
7/23/2023 21:00,117,12.72432327,10.7381897,24.7725563,5.842193604,0.289710999,0.1055558,0.339915262,0.163816155,0.108020109,0.00333592,-0.088786837,-0.990170395
7/23/2023 21:00,118,15.81141281,6.691410065,18.78437424,8.192962646,-0.165353775,0.11314796,0.338689792,0.15568615,0.102983925,0.007759667,-0.085828175,-0.990942617
